lat,long,full_taxa
20.1,-98.31666667,Phaseolus dumosus Macfad.
15.48333333,-90.26666667,Phaseolus dumosus Macfad.
14.35,-88.95,Phaseolus vulgaris L.
14.56666667,-88.61666667,Phaseolus vulgaris L.
50.56666667,-112.8333333,Phaseolus vulgaris L.
45,-72.1,Phaseolus vulgaris L.
-23.58333333,-46.66666667,Phaseolus vulgaris L.
19.8,-101.5,Phaseolus vulgaris L.
19.76666667,-101.6666667,Phaseolus vulgaris L.
40.16666667,31.35,Phaseolus vulgaris L.
37.71666667,30.28333333,Phaseolus vulgaris L.
39.75,27.58333333,Phaseolus vulgaris L.
40.4,27.8,Phaseolus vulgaris L.
41.03333333,40.51666667,Phaseolus vulgaris L.
37.08333333,37.36666667,Phaseolus vulgaris L.
39.13333333,38.76666667,Phaseolus vulgaris L.
39.75,37.03333333,Phaseolus vulgaris L.
39.41666667,29.98333333,Phaseolus vulgaris L.
40.6,33.61666667,Phaseolus vulgaris L.
33.35,44.41666667,Phaseolus vulgaris L.
34,36,Phaseolus vulgaris L.
38.36666667,42.1,Phaseolus vulgaris L.
15.5,-90.25,Phaseolus vulgaris L.
6.35,8.1,Phaseolus vulgaris L.
14.85,-90.06666667,Phaseolus vulgaris L.
14.53333333,-91.5,Phaseolus vulgaris L.
19.41666667,-98.16666667,Phaseolus vulgaris L.
20.08333333,-98.36666667,Phaseolus vulgaris L.
17.05,-96.71666667,Phaseolus vulgaris L.
16.25,-92.13333333,Phaseolus vulgaris L.
20.11666667,-98.73333333,Phaseolus vulgaris L.
14.96666667,-89.53333333,Phaseolus vulgaris L.
13.3,-87.2,Phaseolus vulgaris L.
31.53333333,65.5,Phaseolus vulgaris L.
43.13333333,-70.93333333,Phaseolus vulgaris L.
52.7,5.28333333,Phaseolus vulgaris L.
9.61666667,41.86666667,Phaseolus vulgaris L.
13.81666667,-89.4,Phaseolus vulgaris L.
-20.8,-42.8,Phaseolus vulgaris L.
32.61666667,-115.1666667,Phaseolus vulgaris L.
14.9,-85.93333333,Phaseolus vulgaris L.
14.26666667,-87.66666667,Phaseolus vulgaris L.
14.33333333,-87.71666667,Phaseolus vulgaris L.
14.66666667,-91.25,Phaseolus vulgaris L.
15.41666667,-90.4,Phaseolus vulgaris L.
14.91666667,-91.2,Phaseolus vulgaris L.
16.76666667,-93.36666667,Phaseolus vulgaris L.
24.35,-104.35,Phaseolus vulgaris L.
21.86666667,-101.5833333,Phaseolus vulgaris L.
20.66666667,-103.3333333,Phaseolus vulgaris L.
26.85,-107.45,Phaseolus vulgaris L.
26.93333333,-105.6666667,Phaseolus vulgaris L.
51.53333333,9.91666667,Phaseolus vulgaris L.
18.96666667,-99.1,Phaseolus vulgaris L.
18.33333333,-97.21666667,Phaseolus vulgaris L.
17.3,-96.9,Phaseolus vulgaris L.
40.06666667,27.71666667,Phaseolus vulgaris L.
41.15,27.8,Phaseolus vulgaris L.
40.15,26.4,Phaseolus vulgaris L.
40.38333333,36.91666667,Phaseolus vulgaris L.
39.91666667,37.76666667,Phaseolus vulgaris L.
-7.21666667,-35.88333333,Phaseolus vulgaris L.
-0.21666667,-78.5,Phaseolus vulgaris L.
1.21666667,-77.28333333,Phaseolus vulgaris L.
40.65,29.25,Phaseolus vulgaris L.
19.53305556,-96.91694444,Phaseolus vulgaris L.
20.06666667,-97.05,Phaseolus vulgaris L.
20.76666667,-97.76666667,Phaseolus vulgaris L.
17.11666667,-96.75,Phaseolus vulgaris L.
14.66666667,-90.81666667,Phaseolus vulgaris L.
15.1,-90.31666667,Phaseolus vulgaris L.
30.63333,79.53333,Phaseolus vulgaris L.
-3.85,29.38333333,Phaseolus vulgaris L.
-3.05,30.68333333,Phaseolus vulgaris L.
-2.18333333,30,Phaseolus vulgaris L.
-1.53333333,28.86666667,Phaseolus vulgaris L.
-0.66666667,29.15,Phaseolus vulgaris L.
-0.43333333,29.38333333,Phaseolus vulgaris L.
18.85,-97.1,Phaseolus vulgaris L.
19.96694444,-97.21694444,Phaseolus vulgaris L.
20.16694444,-102.0169444,Phaseolus vulgaris L.
17.05,-96.71694444,Phaseolus vulgaris L.
0.25,-78.25,Phaseolus vulgaris
-22.3,-64.7,Phaseolus vulgaris L.
39.76666667,30.53333333,Phaseolus vulgaris L.
18.2,-73.75,Phaseolus vulgaris L.
51.34694444,23.51444444,Phaseolus vulgaris L.
39.44139,68.26556,Phaseolus vulgaris
42.11639,45.38333,Phaseolus vulgaris
-39.51694444,-72.43305556,Phaseolus coccineus L.
14.61666667,-89.96666667,Phaseolus lunatus L.
14.26666667,-89.9,Phaseolus lunatus L.
14.51666667,-91.5,Phaseolus lunatus L.
1.46666667,-77,Phaseolus lunatus L.
-9.06666667,-78.58333333,Phaseolus lunatus L.
-14.81666667,-74.95,Phaseolus lunatus L.
-9.96666667,-76.25,Phaseolus lunatus L.
13.41666667,-88.33333333,Phaseolus acutifolius A. Gray var. acutifolius
16.78333333,-92.46666667,Phaseolus coccineus L.
17,-96.08305556,Phaseolus coccineus L.
15.18305556,-92.65,Phaseolus coccineus L.
0.98305556,-79.7,Phaseolus lunatus L.
-15.86694444,-50.6,Phaseolus lunatus L.
-4,-79.23333333,Phaseolus lunatus L.
14.21777778,-87.11527778,Phaseolus coccineus L.
18.75,-97.83333333,Phaseolus dumosus Macfad.
15.5,-90.2,Phaseolus dumosus Macfad.
15.08333333,-85.5,Phaseolus vulgaris L.
14.1,-86.58333333,Phaseolus vulgaris L.
14.15,-87.8,Phaseolus vulgaris L.
10.5,-66.93333333,Phaseolus vulgaris L.
40.38333333,50.31666667,Phaseolus vulgaris L.
37.55,45.06666667,Phaseolus vulgaris L.
20.21694444,-104.1669444,Phaseolus vulgaris L.
41.01666667,28.96666667,Phaseolus vulgaris L.
39.38333333,28.13333333,Phaseolus vulgaris L.
29.86666667,78.16666667,Phaseolus vulgaris L.
41.36666667,33.78333333,Phaseolus vulgaris L.
41.2,36.98333333,Phaseolus vulgaris L.
40.76666667,29.91666667,Phaseolus vulgaris L.
39.91666667,41.28333333,Phaseolus vulgaris L.
38.21666667,37.2,Phaseolus vulgaris L.
6,12,Phaseolus vulgaris L.
15.66666667,-91.58333333,Phaseolus vulgaris L.
12.88333333,-85.95,Phaseolus vulgaris L.
9.31666667,42.15,Phaseolus vulgaris L.
19.86666667,-99.73333333,Phaseolus vulgaris L.
9.8,-84.15,Phaseolus vulgaris L.
28.61666667,77.2,Phaseolus vulgaris L.
34.43333333,70.41666667,Phaseolus vulgaris L.
37.38333333,46.21666667,Phaseolus vulgaris L.
42.01666667,20.96666667,Phaseolus vulgaris L.
46.05,14.51666667,Phaseolus vulgaris L.
22.75,-102.65,Phaseolus vulgaris L.
21.51666667,-104.9333333,Phaseolus vulgaris L.
14.28333333,-90.3,Phaseolus vulgaris L.
15.48333333,-90.31666667,Phaseolus vulgaris L.
12.08333333,-85.4,Phaseolus vulgaris L.
12.45,-85.71666667,Phaseolus vulgaris L.
14.76666667,-91.25,Phaseolus vulgaris L.
15.46666667,-90.61666667,Phaseolus vulgaris L.
16.23333333,-93.26666667,Phaseolus vulgaris L.
18.53333333,-97.53333333,Phaseolus vulgaris L.
21.88333333,-102.1666667,Phaseolus vulgaris L.
20.36666667,-99.53333333,Phaseolus vulgaris L.
19.3,-99.66666667,Phaseolus vulgaris L.
18.98333333,-97.45,Phaseolus vulgaris L.
49.0125,-100.3427778,Phaseolus vulgaris L.
32.33333333,-112,Phaseolus vulgaris L.
47.33333333,19.9,Phaseolus vulgaris L.
17.51666667,-97.9,Phaseolus vulgaris L.
18.98333333,-97.78333333,Phaseolus vulgaris L.
20.35,-97.1,Phaseolus vulgaris L.
-23.4,-52.28333333,Phaseolus vulgaris L.
46.66666667,-117.4,Phaseolus vulgaris L.
-3.85,-40.6,Phaseolus vulgaris L.
36.41666667,55.01666667,Phaseolus vulgaris L.
38.43333333,48.86666667,Phaseolus vulgaris L.
20.9,-102.3666667,Phaseolus vulgaris L.
14.63333333,-90.05,Phaseolus vulgaris L.
14.76666667,-91.16666667,Phaseolus vulgaris L.
-0.68333333,29.08333333,Phaseolus vulgaris L.
21.48305556,-103.1,Phaseolus vulgaris L.
-0.23333333,-78.5,Phaseolus vulgaris L.
39.96889,20.71806,Phaseolus vulgaris
39.96888889,20.71805556,Phaseolus vulgaris L.
2.8,-75.5167,Phaseolus lunatus L.
39.96305556,70.52527778,Phaseolus vulgaris L.
39.45166667,68.35333333,Phaseolus vulgaris L.
37.98555556,70.20638889,Phaseolus spp.
13.5,-88.86666667,Phaseolus acutifolius A. Gray
10,-84.2,Phaseolus lunatus L.
-14.06666667,-75.7,Phaseolus lunatus L.
10.41666667,-75.51666667,Phaseolus lunatus L.
-11.83333333,-76.36666667,Phaseolus lunatus L.
28.16694444,-109.425,Phaseolus acutifolius A. Gray
31.1,77.15,Phaseolus coccineus L.
-21.15,-44.26694444,Phaseolus lunatus L.
-16.3,-67.6,Phaseolus lunatus L.
14.61694444,-90.85,Phaseolus coccineus L.
30.46694444,-108.9330556,Phaseolus acutifolius A. Gray
30.33305556,-110.1669444,Phaseolus acutifolius A. Gray
14.66694444,-89.5,Phaseolus lunatus L.
20.23333333,-89.93333333,Phaseolus acutifolius A. Gray var. acutifolius
52.70472222,23.44944444,Phaseolus coccineus L.
15.46666667,-90.33333333,Phaseolus dumosus Macfad.
34.08333333,-4.95,Phaseolus vulgaris L.
14.51666667,-88.8,Phaseolus vulgaris L.
13.25,-86.95,Phaseolus vulgaris L.
38.5,27.71666667,Phaseolus vulgaris L.
36.88333333,30.7,Phaseolus vulgaris L.
37.03333333,27.95,Phaseolus vulgaris L.
37.83333333,35,Phaseolus vulgaris L.
40.48333333,33.3,Phaseolus vulgaris L.
6.28333333,10.1,Phaseolus vulgaris L.
14.3,-90.78333333,Phaseolus vulgaris L.
20.18333333,-98.05,Phaseolus vulgaris L.
17.93333333,73.7,Phaseolus vulgaris L.
-4.63333333,55.45,Phaseolus vulgaris L.
29.61666667,51.63333333,Phaseolus vulgaris L.
36.56666667,52.7,Phaseolus vulgaris L.
-34.5,-59.11666667,Phaseolus vulgaris L.
-18,-44,Phaseolus vulgaris L.
18.63861111,-100.0236111,Phaseolus vulgaris L.
20.51694444,-100.8169444,Phaseolus vulgaris L.
21.43333333,-104.9166667,Phaseolus vulgaris L.
15.33333333,-90.3,Phaseolus vulgaris L.
15.41666667,-90.83333333,Phaseolus vulgaris L.
18.36666667,-97.25,Phaseolus vulgaris L.
16.05,-92.11666667,Phaseolus vulgaris L.
24.05,-104.6666667,Phaseolus vulgaris L.
21.43333333,-102.5833333,Phaseolus vulgaris L.
21.35,-101.9166667,Phaseolus vulgaris L.
21.36666667,-102.85,Phaseolus vulgaris L.
36.01666667,-83.41666667,Phaseolus vulgaris L.
15.33333333,-88.41666667,Phaseolus vulgaris L.
15.05,-88.9,Phaseolus vulgaris L.
15.15,-85.61666667,Phaseolus vulgaris L.
46.73333333,-117.1666667,Phaseolus vulgaris L.
-30.06666667,-51.18333333,Phaseolus vulgaris L.
-2.16666667,-79.83333333,Phaseolus vulgaris L.
35.33333333,51.65,Phaseolus vulgaris L.
19.56666667,-97.23333333,Phaseolus vulgaris L.
14.61694444,-90.8,Phaseolus vulgaris L.
16.75,-93.33333333,Phaseolus vulgaris L.
15.46666667,-90.36666667,Phaseolus vulgaris L.
-1.41666667,28.88333333,Phaseolus vulgaris L.
-1.38333333,29.26666667,Phaseolus vulgaris L.
19.4,-99.05,Phaseolus vulgaris L.
23.03305556,-103.3169444,Phaseolus vulgaris L.
18.38305556,-95.35,Phaseolus vulgaris L.
2,-76.2,Phaseolus lunatus L.
39.37833333,68.74444444,Phaseolus vulgaris L.
42.10277778,45.35361111,Phaseolus vulgaris L.
20.16666667,-98.71666667,Phaseolus coccineus L.
9.3,-75.4,Phaseolus lunatus L.
17.51666667,-96.93333333,Phaseolus coccineus L.
-10.13305556,-37.1,Phaseolus lunatus L.
18.66694444,-97.41694444,Phaseolus coccineus L.
16.23333333,-93.25,Phaseolus lunatus L.
16.75,-93.11694444,Phaseolus acutifolius A. Gray
9.98333333,-84.08333333,Phaseolus lunatus L.
14.43333333,-91.33333333,Phaseolus dumosus Macfad.
15.38333333,-90.4,Phaseolus dumosus Macfad.
14.58333333,-87.28333333,Phaseolus vulgaris L.
14.06666667,-86.61666667,Phaseolus vulgaris L.
31.96666667,77.11666667,Phaseolus vulgaris L.
36.61666667,29.11666667,Phaseolus vulgaris L.
39.26666667,27.31666667,Phaseolus vulgaris L.
40.08333333,29.51666667,Phaseolus vulgaris L.
40.31666667,36.56666667,Phaseolus vulgaris L.
-25,29,Phaseolus vulgaris L.
38.46666667,43.33333333,Phaseolus vulgaris L.
38.68333333,39.23333333,Phaseolus vulgaris L.
40.33333333,26.68333333,Phaseolus vulgaris L.
39.6,32.15,Phaseolus vulgaris L.
40.43333333,29.15,Phaseolus vulgaris L.
37.6,36.91666667,Phaseolus vulgaris L.
5.93333333,10.16666667,Phaseolus vulgaris L.
12.16666667,-84.31666667,Phaseolus vulgaris L.
